Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileSystemProvider,createDirectory,Long Statement,The length of the statement "final PutObjectRequest request=PutObjectRequest.builder().bucket(bucketName).key(directoryKey).cacheControl(s3Path.getFileSystem().getRequestHeaderCacheControlProperty()).contentLength(0L).build();" is 197.,668
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileSystemProvider,deleteBatch,Long Statement,The length of the statement "List<ObjectIdentifier> keys=batch.stream().map(s3Path -> ObjectIdentifier.builder().key(s3Path.getKey()).build()).collect(Collectors.toList());" is 143.,730
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileSystemProvider,deleteBatch,Long Statement,The length of the statement "DeleteObjectsRequest multiObjectDeleteRequest=DeleteObjectsRequest.builder().bucket(bucketName).delete(Delete.builder().objects(keys).build()).build();" is 151.,730
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileSystemProvider,deleteBatch,Long Statement,The length of the statement "keys=batch.stream().map(s3Path -> ObjectIdentifier.builder().key(s3Path.getKey() + '/').build()).collect(Collectors.toList());" is 126.,730
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileSystemProvider,deleteBatch,Long Statement,The length of the statement "multiObjectDeleteRequest=DeleteObjectsRequest.builder().bucket(bucketName).delete(Delete.builder().objects(keys).build()).build();" is 130.,730
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileSystemProvider,copy,Long Statement,The length of the statement "final CopyObjectRequest request=CopyObjectRequest.builder().copySource(encodedUrl).cacheControl(s3Target.getFileSystem().getRequestHeaderCacheControlProperty()).destinationBucket(bucketNameTarget).destinationKey(keyTarget).build();" is 231.,845
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileSystemProvider,readAttributes,Long Statement,The length of the statement "if (s3Path.getFileAttributes() instanceof PosixFileAttributes && cache.isInTime(s3Path.getFileSystem().getCache()`s3Path.getFileAttributes())) {" is 144.,990
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileSystemProvider,readAttributes,Long Statement,The length of the statement "throw new UnsupportedOperationException(format("only %s or %s supported"`BasicFileAttributes.class`PosixFileAttributes.class));" is 127.,990
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileSystemProvider,readAttributes,Complex Conditional,The conditional expression attributes.contains(":") && !attributes.contains("basic:") && !attributes.contains("posix:") is complex.,1036
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileSystemProvider,readAttributes,Long Statement,The length of the statement "throw new UnsupportedOperationException(format("attributes %s are not supported` only basic /" + " posix are supported"`attributes));" is 133.,1036
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileSystemProvider,getS3Factory,Long Statement,The length of the statement "catch ( InstantiationException|IllegalAccessException|ClassNotFoundException|ClassCastException|NoSuchMethodException|InvocationTargetException e) {" is 148.,1121
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileSystemProvider,getS3Factory,Long Statement,The length of the statement "throw new S3FileSystemConfigurationException("Configuration problem` couldn't instantiate " + "S3Factory (" + s3FactoryClass + "): "`e);" is 136.,1121
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileSystemProvider,loadAmazonProperties,Empty catch clause,The method has an empty catch block.,1142
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3Iterator,S3Iterator,Long Statement,The length of the statement "this(path.getFileStore()`path.getKey() + (!incremental && !path.getKey().isEmpty() && !path.getKey().endsWith("/") ? "/" : "")`incremental);" is 140.,59
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3Iterator,next,Long Statement,The length of the statement "ListObjectsV2Request request=ListObjectsV2Request.builder().bucket(fileStore.name()).prefix(key).continuationToken(current.nextContinuationToken()).build();" is 156.,85
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3ObjectId,hashCode,Magic Number,The method contains a magic number: 31,57
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3OutputStream,S3OutputStream,Long Parameter List,The method has 5 parameters. ,187
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3OutputStream,write,Complex Conditional,The conditional expression (offset < 0) || (offset > bytes.length) || (length < 0)|| ((offset + length) > bytes.length)|| ((offset + length) < 0) is complex.,230
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3OutputStream,write,Long Statement,The length of the statement "if ((offset < 0) || (offset > bytes.length) || (length < 0)|| ((offset + length) > bytes.length)|| ((offset + length) < 0)) {" is 125.,230
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3OutputStream,createMultipartUpload,Long Statement,The length of the statement "final CreateMultipartUploadRequest.Builder requestBuilder=CreateMultipartUploadRequest.builder().bucket(objectId.getBucket()).key(objectId.getKey()).metadata(metadata);" is 168.,315
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3OutputStream,uploadPart,Long Statement,The length of the statement "final UploadPartRequest request=UploadPartRequest.builder().bucket(objectId.getBucket()).key(objectId.getKey()).uploadId(uploadId).partNumber(partNumber).contentLength(contentLength).build();" is 191.,347
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3OutputStream,abortMultipartUpload,Long Statement,The length of the statement "final AbortMultipartUploadRequest request=AbortMultipartUploadRequest.builder().bucket(objectId.getBucket()).key(objectId.getKey()).uploadId(uploadId).build();" is 159.,405
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3OutputStream,completeMultipartUpload,Long Statement,The length of the statement "final CompleteMultipartUploadRequest request=CompleteMultipartUploadRequest.builder().bucket(objectId.getBucket()).key(objectId.getKey()).uploadId(uploadId).multipartUpload(completedMultipartUpload).build();" is 207.,426
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3OutputStream,buildParts,Long Statement,The length of the statement "return partETags.stream().map(eTag -> CompletedPart.builder().partNumber(counter.getAndIncrement()).eTag(eTag).build()).collect(Collectors.toList());" is 149.,465
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3OutputStream,putObject,Long Statement,The length of the statement "final PutObjectRequest.Builder requestBuilder=PutObjectRequest.builder().bucket(objectId.getBucket()).key(objectId.getKey()).cacheControl(requestCacheControlHeader).contentLength(contentLength).contentType(contentType).metadata(metadataMap);" is 241.,473
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3Path,S3Path,Complex Conditional,The conditional expression !first.isEmpty() && ((!first.endsWith(PATH_SEPARATOR) && (more == null || more.length == 0)) || more != null && more.length > 0 && !more[more.length - 1].endsWith(PATH_SEPARATOR)) is complex.,61
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3Path,S3Path,Long Statement,The length of the statement "Preconditions.checkArgument(first != null`"The first path must not be null. Perhaps you forgot to set the bucket name?");" is 121.,61
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3Path,S3Path,Long Statement,The length of the statement "if (!first.isEmpty() && ((!first.endsWith(PATH_SEPARATOR) && (more == null || more.length == 0)) || more != null && more.length > 0 && !more[more.length - 1].endsWith(PATH_SEPARATOR))) {" is 186.,61
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3Path,startsWith,Complex Conditional,The conditional expression this.isAbsolute() && other.isAbsolute() && !getBucketName().equals(path.getBucketName()) is complex.,332
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3Path,startsWith,Complex Method,Cyclomatic complexity of the method is 8,332
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3Path,endsWith,Complex Conditional,The conditional expression (path.getFileStore() != null && !path.getFileStore().equals(this.getFileStore())) || (path.getFileStore() != null && this.getFileStore() == null) is complex.,384
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3Path,endsWith,Long Statement,The length of the statement "if ((path.getFileStore() != null && !path.getFileStore().equals(this.getFileStore())) || (path.getFileStore() != null && this.getFileStore() == null)) {" is 152.,384
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3Path,normalize,Complex Method,Cyclomatic complexity of the method is 9,438
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3Path,isNormal,Complex Conditional,The conditional expression getNameCount() == 0 || getNameCount() == 1 && !isAbsolute() is complex.,481
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3Path,relativize,Long Statement,The length of the statement "Preconditions.checkArgument(fileStore.equals(s3Path.getFileStore())`"Cannot relativize paths with different buckets: '%s'` '%s'"`this`other);" is 141.,597
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3Path,hashCode,Magic Number,The method contains a magic number: 31,790
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3SeekableByteChannel,S3SeekableByteChannel,Complex Conditional,The conditional expression !exists && !this.options.contains(StandardOpenOption.CREATE_NEW) && !this.options.contains(StandardOpenOption.CREATE) is complex.,41
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3SeekableByteChannel,S3SeekableByteChannel,Long Statement,The length of the statement "else if (!exists && !this.options.contains(StandardOpenOption.CREATE_NEW) && !this.options.contains(StandardOpenOption.CREATE)) {" is 129.,41
s3fs-nio,org.carlspring.cloud.storage.s3fs,AttributesUtilsTest,filterAll,Long Statement,The length of the statement "final String[] filters=new String[]{"isDirectory"`"isRegularFile"`"isOther"`"creationTime"`"fileKey"`"isSymbolicLink"`"lastAccessTime"`"lastModifiedTime"`"size"};" is 162.,18
s3fs-nio,org.carlspring.cloud.storage.s3fs,AttributesUtilsTest,filterAll,Magic Number,The method contains a magic number: 10L,18
s3fs-nio,org.carlspring.cloud.storage.s3fs,AttributesUtilsTest,filterAll,Magic Number,The method contains a magic number: 10L,18
s3fs-nio,org.carlspring.cloud.storage.s3fs,BaseIntegrationTest,isMinioEnv,Empty catch clause,The method has an empty catch block.,45
s3fs-nio,org.carlspring.cloud.storage.s3fs,BaseIntegrationTest,getS3URIForMinioContainer,Magic Number,The method contains a magic number: 9000,108
s3fs-nio,org.carlspring.cloud.storage.s3fs,BaseTest,getTestBasePath,Empty catch clause,The method has an empty catch block.,24
s3fs-nio,org.carlspring.cloud.storage.s3fs,BaseTest,getTestBasePath,Long Statement,The length of the statement "Method method=Arrays.stream(clazz.getDeclaredMethods()).filter(m -> m.getName().equals(methodName)).findFirst().orElse(null);" is 125.,24
s3fs-nio,org.carlspring.cloud.storage.s3fs,BaseTest,getTestBasePath,Long Statement,The length of the statement "boolean hasTestAnnotation=Arrays.stream(method.getDeclaredAnnotations()).anyMatch(a -> a.annotationType() == Test.class || a.annotationType() == ParameterizedTest.class);" is 170.,24
s3fs-nio,org.carlspring.cloud.storage.s3fs,BaseTest,abbreviateClassName,Magic Number,The method contains a magic number: 5,151
s3fs-nio,org.carlspring.cloud.storage.s3fs,CacheTest,cacheIsInclusive,Magic Number,The method contains a magic number: 300L,15
s3fs-nio,org.carlspring.cloud.storage.s3fs,CacheTest,cacheIsInclusive,Magic Number,The method contains a magic number: 300,15
s3fs-nio,org.carlspring.cloud.storage.s3fs,CacheTest,outOfTime,Magic Number,The method contains a magic number: 200L,30
s3fs-nio,org.carlspring.cloud.storage.s3fs,CacheTest,outOfTime,Magic Number,The method contains a magic number: 100,30
s3fs-nio,org.carlspring.cloud.storage.s3fs,CacheTest,infinite,Magic Number,The method contains a magic number: 200L,45
s3fs-nio,org.carlspring.cloud.storage.s3fs,CacheTest,infinite,Magic Number,The method contains a magic number: 100,45
s3fs-nio,org.carlspring.cloud.storage.s3fs,FilesIT,virtualDirectoryStreamTest,Magic Number,The method contains a magic number: 2,292
s3fs-nio,org.carlspring.cloud.storage.s3fs,FilesIT,virtualDirectoryStreamTest,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@5e19fe1d,292
s3fs-nio,org.carlspring.cloud.storage.s3fs,FilesIT,virtualDirectoryStreamWithVirtualSubFolderTest,Magic Number,The method contains a magic number: 2,352
s3fs-nio,org.carlspring.cloud.storage.s3fs,FilesIT,virtualDirectoryStreamWithVirtualSubFolderTest,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@65711ffb,352
s3fs-nio,org.carlspring.cloud.storage.s3fs,FilesIT,amazonCopyNotDetectContentTypeSetDefault,Long Statement,The length of the statement "final byte[] data=new byte[]{(byte)0xe0`0x4f`(byte)0xd0`0x20`(byte)0xea`0x3a`0x69`0x10`(byte)0xa2`(byte)0xd8`0x08`0x00`0x2b`0x30`0x30`(byte)0x9d};" is 146.,569
s3fs-nio,org.carlspring.cloud.storage.s3fs,FilesIT,amazonCopyNotDetectContentTypeSetDefault,Magic Number,The method contains a magic number: 0xe0,569
s3fs-nio,org.carlspring.cloud.storage.s3fs,FilesIT,amazonCopyNotDetectContentTypeSetDefault,Magic Number,The method contains a magic number: 0xd0,569
s3fs-nio,org.carlspring.cloud.storage.s3fs,FilesIT,amazonCopyNotDetectContentTypeSetDefault,Magic Number,The method contains a magic number: 0xea,569
s3fs-nio,org.carlspring.cloud.storage.s3fs,FilesIT,amazonCopyNotDetectContentTypeSetDefault,Magic Number,The method contains a magic number: 0xa2,569
s3fs-nio,org.carlspring.cloud.storage.s3fs,FilesIT,amazonCopyNotDetectContentTypeSetDefault,Magic Number,The method contains a magic number: 0xd8,569
s3fs-nio,org.carlspring.cloud.storage.s3fs,FilesIT,amazonCopyNotDetectContentTypeSetDefault,Magic Number,The method contains a magic number: 0x9d,569
s3fs-nio,org.carlspring.cloud.storage.s3fs,FilesIT,amazonOutputStreamDetectContentType,Magic Number,The method contains a magic number: 8192,611
s3fs-nio,org.carlspring.cloud.storage.s3fs,FilesIT,readAttributesString,Magic Number,The method contains a magic number: 9,671
s3fs-nio,org.carlspring.cloud.storage.s3fs,FilesIT,readAttributesDirectory,Long Statement,The length of the statement "BasicFileAttributes fileAttributes=Files.readAttributes(dir.resolve("lib").resolve("angular")`BasicFileAttributes.class);" is 121.,692
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3AwsRegionProviderChainTest,secondProviderInChainGivesAwsProfileRegionInformation,Long Statement,The length of the statement "final Supplier<ProfileFile> profileFile=() -> ProfileFile.builder().type(ProfileFile.Type.CONFIGURATION).content(profilePath).build();" is 134.,55
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3AwsRegionProviderChainTest,secondProviderInChainGivesAwsProfileRegionInformation,Long Statement,The length of the statement "final AwsRegionProviderChain chain=S3AwsRegionProviderChain.builder().profileFile(profileFile).profileName(profileName).build();" is 128.,55
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3AwsRegionProviderChainTest,whenSecondProviderInChainHasAwsProfileWithoutRegionItShouldThrowAnException,Long Statement,The length of the statement "final Supplier<ProfileFile> profileFile=() -> ProfileFile.builder().type(ProfileFile.Type.CONFIGURATION).content(profilePath).build();" is 134.,84
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3AwsRegionProviderChainTest,whenSecondProviderInChainHasAwsProfileWithoutRegionItShouldThrowAnException,Long Statement,The length of the statement "final S3AwsRegionProviderChain chain=S3AwsRegionProviderChain.builder().profileFile(profileFile).profileName(profileName).build();" is 130.,84
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3ClientFactoryTest,neverTrustTheDefaults,Long Statement,The length of the statement "assertEquals("class software.amazon.awssdk.core.signer.NoOpSigner"`overrideConfiguration.toBuilder().advancedOptions().get(SIGNER).getClass().toString());" is 154.,28
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3ClientFactoryTest,neverTrustTheDefaults,Magic Number,The method contains a magic number: 3,28
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3ClientFactoryTest,halfTheCredentials,Long Statement,The length of the statement "Exception exception=assertThrows(NullPointerException.class`() -> clientFactory.getS3Client(S3EndpointConstant.S3_GLOBAL_URI_TEST`props));" is 138.,136
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3ClientFactoryTest,theOtherHalf,Long Statement,The length of the statement "Exception exception=assertThrows(NullPointerException.class`() -> clientFactory.getS3Client(S3EndpointConstant.S3_GLOBAL_URI_TEST`props));" is 138.,155
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3ClientFactoryTest,overrideHostAndPort,Magic Number,The method contains a magic number: 8001,174
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3ClientIT,setup,Long Statement,The length of the statement "final AwsCredentials credentialsS3=AwsBasicCredentials.create(credentials.get(ACCESS_KEY).toString()`credentials.get(SECRET_KEY).toString());" is 141.,39
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3ClientIT,putObject,Long Statement,The length of the statement "PutObjectRequest request=PutObjectRequest.builder().bucket(getBucket()).key(getTestBasePath() + "/" + randomUUID().toString()).build();" is 135.,54
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3ClientIT,putObjectWithBothSlash,Long Statement,The length of the statement "PutObjectRequest request=PutObjectRequest.builder().bucket(getBucket()).key("/" + getTestBasePathWithUUID() + "/").build();" is 123.,104
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileAttributesTest,toStringPrintsBasicInfo,Magic Number,The method contains a magic number: 100,15
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileAttributesTest,toStringPrintsBasicInfo,Magic Number,The method contains a magic number: 10,15
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileChannelTest,positionAndBytesReadForReadProvider,Magic Number,The method contains a magic number: 10,57
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileChannelTest,positionAndBytesReadForReadProvider,Magic Number,The method contains a magic number: 5,57
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileChannelTest,positionAndBytesReadForReadProvider,Magic Number,The method contains a magic number: 9,57
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileChannelTest,positionAndBytesReadForReadProvider,Magic Number,The method contains a magic number: 15,57
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileChannelTest,constructorReadFromPosition,Magic Number,The method contains a magic number: 10,82
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileChannelTest,whenChannelNotOpenedThenReadShouldReturnZero,Magic Number,The method contains a magic number: 10,108
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileChannelTest,constructorReadWithHandlerFromPosition,Magic Number,The method contains a magic number: 10,131
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileChannelTest,constructorReadWithHandlerFromPosition,Magic Number,The method contains a magic number: 10,131
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileChannelTest,whenChannelNotOpenedThenReadWithHandlerShouldDoNothing,Magic Number,The method contains a magic number: 10,177
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileChannelTest,whenChannelNotOpenedThenReadWithHandlerShouldDoNothing,Magic Number,The method contains a magic number: 10,177
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileChannelTest,whenChannelNotOpenedThenWriteShouldReturnZero,Magic Number,The method contains a magic number: 10,262
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileChannelTest,constructorWriteWithHandlerFromPosition,Magic Number,The method contains a magic number: 10,284
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileChannelTest,whenChannelNotOpenedThenWriteWithHandlerShouldDoNothing,Magic Number,The method contains a magic number: 10,334
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileChannelTest,whenChannelNotOpenedThenWriteWithHandlerShouldDoNothing,Magic Number,The method contains a magic number: 10,334
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileChannelTest,constructorWriteButTryToRead,Magic Number,The method contains a magic number: 10,369
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileChannelTest,alreadyExists,Long Statement,The length of the statement "final Exception exception=assertThrows(FileAlreadyExistsException.class`() -> new S3FileChannel(file1`options`null`true));" is 122.,432
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileChannelTest,lockAcquiresALockOfChannelFile,Magic Number,The method contains a magic number: 20,506
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileChannelTest,lockWithHandlerAcquiresALockOfChannelFile,Magic Number,The method contains a magic number: 10,551
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileChannelTest,lockWithHandlerAcquiresALockOfChannelFile,Magic Number,The method contains a magic number: 20,551
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileChannelTest,tryLockShouldAcquireLockOverANotAcquiredLock,Magic Number,The method contains a magic number: 20,647
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileStoreTest,prepareFileStore,Long Statement,The length of the statement "Map<String`Object> env=ImmutableMap.<String`Object>builder().put(ACCESS_KEY`"access-mocked").put(SECRET_KEY`"secret-mocked").build();" is 133.,40
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileStoreTest,getUnsupportedFileStoreAttributeView,Long Statement,The length of the statement "final Exception exception=assertThrows(IllegalArgumentException.class`() -> fileStore.getFileStoreAttributeView(attributeViewClass));" is 133.,90
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileSystemTest,getRootDirectories,Magic Number,The method contains a magic number: 2,215
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileSystemTest,comparables,Long Statement,The length of the statement "S3FileSystem s3fs3=(S3FileSystem)provider.newFileSystem(URI.create("s3://accessKey:secretKey@mirror1.amazon.test/")`null);" is 122.,275
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileSystemTest,comparables,Long Statement,The length of the statement "S3FileSystem s3fs4=(S3FileSystem)provider.newFileSystem(URI.create("s3://accessKey:secretKey@mirror2.amazon.test")`null);" is 121.,275
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileSystemTest,comparables,Long Statement,The length of the statement "S3FileSystem s3fs6=(S3FileSystem)provider.newFileSystem(URI.create("s3://access_key:secret_key@mirror1.amazon.test/")`null);" is 124.,275
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileSystemTest,comparables,Magic Number,The method contains a magic number: 50,275
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileSystemTest,key2Parts,Magic Number,The method contains a magic number: 2,329
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3FileSystemTest,key2Parts,Magic Number,The method contains a magic number: 3,329
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3IteratorTest,iteratorWithSubFolderAndSubFiles,Long Statement,The length of the statement "client.bucket("bucketA").dir("dir"`"dir/dir"`"dir/dir2"`"dir/dir2/dir3").file("dir/file"`"dir/file2"`"dir/dir/file"`"dir/dir2/file"`"dir/dir2/dir3/file");" is 154.,99
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3IteratorTest,iteratorWithSubFolderAndSubFilesAtBucketLevel,Long Statement,The length of the statement "client.bucket("bucketA").file("file"`"file2"`"dir/file3"`"dir2/file4"`"dir2/dir3/file3").dir("dir"`"dir2"`"dir2/dir3"`"dir4");" is 126.,117
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3IteratorTest,iteratorDirs,Long Statement,The length of the statement "client.bucket("bucketA").file("file1"`"file2"`"file3"`"directory1/file1.1"`"directory1/file1.2"`"directory1/file1.3").dir("directory1");" is 136.,198
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3IteratorTest,incrementalVirtualDirs,Long Statement,The length of the statement "client.bucket("bucketA").file("dir/subdir/subberdir/file1.1"`"dir/subdir/subberdir/file1.2"`"dir/subdir/subberdir/file1.3");" is 124.,236
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3IteratorTest,iteratorMoreThanS3ClientLimit,Magic Number,The method contains a magic number: 1050,252
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3IteratorTest,iteratorMoreThanS3ClientLimit,Magic Number,The method contains a magic number: 1050,252
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3IteratorTest,iteratorMoreThanS3ClientLimit,Magic Number,The method contains a magic number: 1000,252
